juwi ID,Zeitstempel,WindSpeed,WindDir,Power,Temperature
DE-W-OBERKY-810,01.01.2018 00:00:00,14.23,248,3255.30 ,9
DE-W-OBERKY-810,01.01.2018 00:10:00,16.11,256,3277.00 ,9
DE-W-OBERKY-810,01.01.2018 00:20:00,14.53,264,3278.30 ,8.39
DE-W-OBERKY-810,01.01.2018 00:30:00,14.52,256,3266.60 ,8
DE-W-OBERKY-810,01.01.2018 00:40:00,13.35,255,3180.30 ,8.07
DE-W-OBERKY-810,01.01.2018 00:50:00,14.83,256,3294.80 ,8.4
DE-W-OBERKY-810,01.01.2018 01:00:00,15.71,258,3282.00 ,8.2
DE-W-OBERKY-810,01.01.2018 01:10:00,13.88,256,3260.00 ,8.03
DE-W-OBERKY-810,01.01.2018 01:20:00,14.05,252,3278.10 ,8
DE-W-OBERKY-810,01.01.2018 01:30:00,13.52,249,3226.30 ,8
DE-W-OBERKY-810,01.01.2018 01:40:00,14.48,252,3259.20 ,8
DE-W-OBERKY-810,01.01.2018 01:50:00,14.11,249,3268.40 ,8
DE-W-OBERKY-810,01.01.2018 02:00:00,12.14,252,3141.70 ,8
DE-W-OBERKY-810,01.01.2018 02:10:00,12.33,252,3201.90 ,8.03
DE-W-OBERKY-810,01.01.2018 02:20:00,14.67,255,3258.80 ,8.07
DE-W-OBERKY-810,01.01.2018 02:30:00,13.59,263,3265.20 ,7.48
DE-W-OBERKY-810,01.01.2018 02:40:00,13.77,255,3289.00 ,6.8
DE-W-OBERKY-810,01.01.2018 02:50:00,14.7,253,3272.10 ,6.93
DE-W-OBERKY-810,01.01.2018 03:00:00,17.7,255,3292.40 ,7
DE-W-OBERKY-810,01.01.2018 03:10:00,15.2,261,3278.10 ,7
DE-W-OBERKY-810,01.01.2018 03:20:00,13.97,258,3277.60 ,7.03
DE-W-OBERKY-810,01.01.2018 03:30:00,14.58,253,3284.30 ,7.07
DE-W-OBERKY-810,01.01.2018 03:40:00,12.88,247,3184.40 ,7
DE-W-OBERKY-810,01.01.2018 03:50:00,11.67,247,2992.70 ,7.2
DE-W-OBERKY-810,01.01.2018 04:00:00,12.14,252,3003.50 ,7.07
DE-W-OBERKY-810,01.01.2018 04:10:00,14.04,258,3262.70 ,7.07
DE-W-OBERKY-810,01.01.2018 04:20:00,13.87,261,3204.30 ,7.03
DE-W-OBERKY-810,01.01.2018 04:30:00,11.24,262,2981.90 ,7
DE-W-OBERKY-810,01.01.2018 04:40:00,11.69,255,2932.80 ,7.3
DE-W-OBERKY-810,01.01.2018 04:50:00,12.42,256,3103.90 ,7.3
DE-W-OBERKY-810,01.01.2018 05:00:00,12.98,257,3255.10 ,6.97
DE-W-OBERKY-810,01.01.2018 05:10:00,13.43,256,3218.30 ,7.03
DE-W-OBERKY-810,01.01.2018 05:20:00,13.54,258,3277.30 ,6.71
DE-W-OBERKY-810,01.01.2018 05:30:00,13.51,258,3267.30 ,6.75
DE-W-OBERKY-810,01.01.2018 05:40:00,13.89,259,3267.20 ,6.93
DE-W-OBERKY-810,01.01.2018 05:50:00,12.58,260,3224.00 ,6.82
DE-W-OBERKY-810,01.01.2018 06:00:00,14.47,264,3274.00 ,6.68
DE-W-OBERKY-810,01.01.2018 06:10:00,12.44,259,3016.90 ,6.4
DE-W-OBERKY-810,01.01.2018 06:20:00,13.63,263,3281.80 ,7
DE-W-OBERKY-810,01.01.2018 06:30:00,13.49,259,3267.00 ,6.63
DE-W-OBERKY-810,01.01.2018 06:40:00,14.62,261,3258.80 ,6.26
DE-W-OBERKY-810,01.01.2018 06:50:00,14.93,265,3287.80 ,6.33
DE-W-OBERKY-810,01.01.2018 07:00:00,13.57,265,3279.80 ,6.06
DE-W-OBERKY-810,01.01.2018 07:10:00,12.85,261,3267.20 ,6
DE-W-OBERKY-810,01.01.2018 07:20:00,12.62,258,3194.90 ,6.03
DE-W-OBERKY-810,01.01.2018 07:30:00,11.98,253,3182.10 ,6.47
DE-W-OBERKY-810,01.01.2018 07:40:00,13.97,264,3289.70 ,6.37
DE-W-OBERKY-810,01.01.2018 07:50:00,12.13,260,3154.20 ,5.7
DE-W-OBERKY-810,01.01.2018 08:00:00,11.85,262,3027.20 ,5.93
