datetime,power,global_radiation,temperature
2019-02-14 09:15:00,     0.678,   312.310,     1.250
2019-02-14 09:30:00,     0.780,   363.451,     1.950
2019-02-14 09:45:00,     0.912,   419.662,     1.800
2019-02-14 10:00:00,     1.025,   464.191,     1.750
2019-02-14 10:15:00,     1.126,   509.709,     2.400
2019-02-14 10:30:00,     1.199,   556.815,     2.850
2019-02-14 10:45:00,     1.193,   561.270,     2.900
2019-02-14 11:00:00,     1.303,   597.659,     3.000
2019-02-14 11:15:00,     1.355,   597.659,     3.450
2019-02-14 11:30:00,     1.476,   687.144,     4.100
2019-02-14 11:45:00,     1.516,   708.106,     5.700
2019-02-14 12:00:00,     1.526,   719.500,     7.100
2019-02-14 12:15:00,     1.558,   736.510,     7.350
2019-02-14 12:30:00,     1.550,   742.080,     8.300
2019-02-14 12:45:00,     1.571,   753.246,     8.950
2019-02-14 13:00:00,     1.515,   736.894,    10.100
2019-02-14 13:15:00,     1.466,   694.211,    10.450
2019-02-14 13:30:00,     1.476,   717.934,    11.800
2019-02-14 13:45:00,     1.415,   686.711,    12.200
2019-02-14 14:00:00,     1.394,   705.087,    12.750
2019-02-14 14:15:00,     1.322,   667.891,    13.100
2019-02-14 14:30:00,     1.258,   656.312,    13.100
2019-02-14 14:45:00,     1.179,   621.169,    13.950
2019-02-14 15:00:00,     1.078,   578.350,    14.100
2019-02-14 15:15:00,     0.974,   547.299,    14.350
2019-02-14 15:30:00,     0.843,   510.062,    15.350
2019-02-14 15:45:00,     0.690,   458.161,    15.900
2019-02-14 16:00:00,     0.541,   387.539,    16.300
2019-02-14 16:15:00,     0.386,   316.805,    16.650
2019-02-14 16:30:00,     0.270,   257.068,    16.200
2019-02-14 16:45:00,     0.152,   192.323,    15.150
2019-02-14 17:00:00,     0.078,    52.710,    13.950
2019-02-14 17:15:00,     0.047,    37.303,    13.500
2019-02-14 17:30:00,     0.022,    24.770,    13.350
2019-02-14 17:45:00,     0.005,    14.684,    12.750
2019-02-14 18:00:00,     0.000,     6.374,    11.650
2019-02-14 18:15:00,     0.000,     1.020,    11.050
2019-02-14 18:30:00,     0.000,     1.020,    10.400
2019-02-14 18:45:00,     0.000,     1.020,     9.850
2019-02-14 19:00:00,     0.000,     1.020,     8.800
2019-02-14 19:15:00,     0.000,     1.020,     8.550
2019-02-14 19:30:00,     0.000,     1.020,     7.900
2019-02-14 19:45:00,     0.000,     0.663,     7.650
2019-02-14 20:00:00,     0.000,     0.000,     7.250
