datetime,power,wind_speed,wind_direction,temperature
2019-02-13 12:30:00,     7.681,     1.847,   171.393,     7.469
2019-02-13 12:45:00,     8.536,     2.338,   161.668,     8.265
2019-02-13 13:00:00,    23.926,     2.661,   181.386,     8.600
2019-02-13 13:15:00,    12.818,     2.264,   188.917,     9.660
2019-02-13 13:30:00,     1.709,     2.047,   199.633,    10.131
2019-02-13 13:45:00,     7.680,     1.331,   185.405,     9.528
2019-02-13 14:00:00,     8.536,     1.918,   167.060,     9.136
2019-02-13 14:15:00,     8.535,     1.915,   188.571,     9.841
2019-02-13 14:30:00,     8.537,     1.806,   204.145,    11.057
2019-02-13 14:45:00,     8.535,     1.972,   165.647,    11.496
2019-02-13 15:00:00,     2.562,     1.992,   178.335,    11.742
2019-02-13 15:15:00,    10.254,     2.085,   198.345,    12.843
2019-02-13 15:30:00,     1.709,     1.903,   192.499,    14.294
2019-02-13 15:45:00,     1.709,     1.790,   193.179,    13.032
2019-02-13 16:00:00,    14.527,     2.322,   195.984,    13.382
2019-02-13 16:15:00,     7.690,     2.276,   190.593,    12.330
2019-02-13 16:30:00,     3.417,     1.966,   165.872,    10.691
2019-02-13 16:45:00,    17.945,     2.157,   173.489,    10.082
2019-02-13 17:00:00,     8.535,     1.801,   175.786,     9.704
2019-02-13 17:15:00,     8.545,     2.240,   159.755,     7.893
2019-02-13 17:30:00,     8.535,     1.908,   177.464,     6.172
2019-02-13 17:45:00,     9.390,     1.658,   177.101,     4.077
2019-02-13 18:00:00,     8.535,     1.543,   156.330,     3.078
2019-02-13 18:15:00,     8.535,     1.443,   152.310,     2.319
2019-02-13 18:30:00,     7.680,     1.946,   142.068,     1.916
2019-02-13 18:45:00,    12.818,     2.142,   160.876,     1.392
2019-02-13 19:00:00,    16.235,     2.297,   174.208,     0.854
2019-02-13 19:15:00,    29.908,     2.604,   174.264,     0.367
2019-02-13 19:30:00,    52.126,     3.214,   175.587,    -0.019
2019-02-13 19:45:00,    31.617,     3.118,   167.293,    -0.616
2019-02-13 20:00:00,    50.416,     3.122,   167.656,    -0.949
2019-02-13 20:15:00,    70.925,     3.860,   166.149,    -1.436
2019-02-13 20:30:00,    79.470,     3.952,   177.432,    -1.722
2019-02-13 20:45:00,    57.253,     3.477,   173.464,    -1.950
2019-02-13 21:00:00,    65.798,     3.440,   170.857,    -2.227
2019-02-13 21:15:00,    88.015,     3.761,   175.870,    -2.298
2019-02-13 21:30:00,   134.159,     4.446,   173.923,    -2.354
2019-02-13 21:45:00,    72.634,     3.696,   173.855,    -2.356
2019-02-13 22:00:00,    37.599,     3.283,   178.491,    -2.615
2019-02-13 22:15:00,    51.271,     2.913,   179.934,    -2.887
2019-02-13 22:30:00,    25.636,     2.717,   180.387,    -3.122
2019-02-13 22:45:00,    17.944,     2.374,   169.650,    -3.154
2019-02-13 23:00:00,    41.873,     2.669,   182.909,    -2.934
2019-02-13 23:15:00,    51.271,     3.137,   173.044,    -3.086
2019-02-13 23:30:00,    82.888,     3.368,   183.210,    -3.173
2019-02-13 23:45:00,    81.179,     3.497,   166.203,    -3.379
2019-02-14 00:00:00,    32.472,     3.089,   177.994,    -3.434
2019-02-14 00:15:00,    43.582,     3.039,   178.468,    -3.671
2019-02-14 00:30:00,    80.325,     3.495,   173.190,    -3.722
2019-02-14 00:45:00,    86.308,     3.746,   174.070,    -3.718
2019-02-14 01:00:00,    89.724,     3.912,   184.118,    -3.791
2019-02-14 01:15:00,    95.705,     3.892,   173.977,    -3.861
2019-02-14 01:30:00,   102.541,     4.012,   182.132,    -4.026
2019-02-14 01:45:00,   179.450,     4.656,   170.790,    -3.886
2019-02-14 02:00:00,   145.270,     4.923,   167.755,    -3.987
2019-02-14 02:15:00,   138.432,     4.592,   173.473,    -4.062
2019-02-14 02:30:00,   127.325,     4.574,   170.409,    -4.173
2019-02-14 02:45:00,   180.305,     4.992,   174.617,    -4.549
2019-02-14 03:00:00,   180.303,     4.782,   155.459,    -4.641
2019-02-14 03:15:00,   142.704,     4.907,   173.039,    -4.110
2019-02-14 03:30:00,   172.614,     4.761,   164.968,    -3.581
2019-02-14 03:45:00,   203.375,     5.260,   169.638,    -3.753
2019-02-14 04:00:00,   183.721,     5.193,   167.195,    -4.155
2019-02-14 04:15:00,   156.377,     5.119,   177.788,    -4.261
2019-02-14 04:30:00,   125.616,     4.613,   159.837,    -4.340
2019-02-14 04:45:00,   120.489,     4.543,   165.427,    -4.346
2019-02-14 05:00:00,   126.468,     4.403,   165.363,    -4.178
2019-02-14 05:15:00,   101.688,     4.262,   167.610,    -4.220
2019-02-14 05:30:00,    95.708,     3.979,   170.267,    -4.068
2019-02-14 05:45:00,   111.087,     4.209,   164.644,    -3.994
2019-02-14 06:00:00,   128.178,     4.543,   167.291,    -4.131
2019-02-14 06:15:00,   127.322,     4.350,   160.294,    -4.134
2019-02-14 06:30:00,   152.103,     4.637,   166.772,    -4.226
2019-02-14 06:45:00,   143.559,     4.781,   169.079,    -4.178
2019-02-14 07:00:00,   115.360,     4.631,   157.628,    -4.396
2019-02-14 07:15:00,    80.324,     4.416,   157.129,    -4.379
2019-02-14 07:30:00,    73.488,     3.545,   150.135,    -4.126
2019-02-14 07:45:00,    77.761,     3.596,   134.043,    -4.533
2019-02-14 08:00:00,    52.980,     2.988,   141.480,    -4.337
2019-02-14 08:15:00,    64.089,     3.124,   136.418,    -4.162
2019-02-14 08:30:00,   120.487,     3.888,   139.882,    -3.760
2019-02-14 08:45:00,   135.870,     4.759,   144.282,    -3.190
2019-02-14 09:00:00,   129.031,     4.652,   151.875,    -2.314
2019-02-14 09:15:00,    84.597,     3.222,   150.245,    -1.607
2019-02-14 09:30:00,    93.142,     3.801,   155.977,    -0.560
2019-02-14 09:45:00,    47.000,     3.775,   171.247,     0.574
2019-02-14 10:00:00,    97.415,     3.868,   162.552,     1.844
2019-02-14 10:15:00,    70.070,     3.711,   170.836,     2.785
2019-02-14 10:30:00,    50.416,     3.474,   155.284,     4.093
2019-02-14 10:45:00,    58.962,     3.015,   152.007,     5.603
2019-02-14 11:00:00,    39.308,     2.534,   168.951,     7.149
2019-02-14 11:15:00,    25.636,     2.512,   142.921,     8.473
2019-02-14 11:30:00,     1.708,     3.613,   165.297,     9.889
2019-02-14 11:45:00,    64.943,     3.454,   157.067,    10.876
2019-02-14 12:00:00,    38.453,     3.436,   147.087,    11.215
2019-02-14 12:15:00,   135.868,     3.036,   155.950,    11.146
2019-02-14 12:30:00,     9.402,     3.048,   151.563,    11.148
2019-02-14 12:45:00,    33.326,     2.499,   158.460,    11.360
2019-02-14 13:00:00,    42.726,     3.280,   171.720,    11.701
2019-02-14 13:15:00,    78.616,     3.628,   164.114,    11.560
2019-02-14 13:30:00,   244.391,     4.892,   160.779,    12.097
2019-02-14 13:45:00,   143.561,     4.477,   165.437,    12.388
2019-02-14 14:00:00,   141.852,     4.675,   165.489,    12.611
2019-02-14 14:15:00,   138.434,     4.640,   165.751,    13.140
2019-02-14 14:30:00,    47.000,     3.004,   185.544,    13.875
2019-02-14 14:45:00,    90.579,     3.714,   188.780,    14.607
2019-02-14 15:00:00,    59.812,     3.949,   192.165,    15.109
2019-02-14 15:15:00,    86.308,     3.756,   162.048,    15.987
2019-02-14 15:30:00,    18.799,     2.420,   170.822,    17.307
